code,name,city,lat,lng,operating_hours
MOI-ASIR-339,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-340,برج اتصالات الشرطه بشثاث,Asir,,,3120
MOI-ASIR-341,حرس الحدود بقمه جبل شثاث,Asir,,,3120
MOI-ASIR-342,مركز الدفاع المدني,Asir,,,3120
MOI-ASIR-343,مركز شرطه القراره,Asir,,,3120
MOI-ASIR-344,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-345,وزارة الداخلية,Asir,,,3120
MOI-ASIR-346,قيادة الافواج,Asir,,,3120
MOI-ASIR-347,مركز حرس الحدود عين ظبيه,Asir,,,3120
MOI-ASIR-348,وزارة الداخلية,Asir,,,3120
MOI-ASIR-349,قيادة الافواج,Asir,,,3120
MOI-ASIR-350,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-351,قيادة قطاع حرس الحدود,Asir,,,3120
MOI-ASIR-352,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-353,مركز حرس الحدود رقابه زبنه,Asir,,,3120
MOI-ASIR-354,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-355,مركز حرس الحدود قشبه,Asir,,,3120
MOI-ASIR-356,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-357,مركز عاكفه الجديد,Asir,,,3120
MOI-ASIR-358,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-359,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-360,مركز حرس الحدود بالحضار,Asir,,,3120
MOI-ASIR-361,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-362,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-363,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-364,مركز عاكفه القديم محطة البنزين,Asir,,,3120
MOI-ASIR-365,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-366,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-367,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-368,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-369,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-370,سعادة مدير ادارة الدفاع المدني,Asir,,,3120
MOI-ASIR-371,رئيس مركز لادمه,Asir,,,3120
MOI-ASIR-372,مركز حرس الحدود الرهوه,Asir,,,3120
MOI-ASIR-373,مركز الفرشة,Asir,,,3120
MOI-ASIR-374,مركز الفرشة,Asir,,,3120
MOI-ASIR-375,مركز الفرشة,Asir,,,3120
MOI-ASIR-376,الدفاع المدني بالفرشة,Asir,,,3120
MOI-ASIR-377,مركز العرقين,Asir,,,3120
MOI-ASIR-378,دوريات امن الطرق بظهران الجنوب,Asir,,,3120
MOI-ASIR-379,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-380,مركز ايواء الدفاع المدني,Asir,,,3120
MOI-ASIR-381,مركز ايواء الدفاع المدني,Asir,,,3120
MOI-ASIR-382,قائد القوة الخاصة لامن الطرق,Asir,,,3120
MOI-ASIR-383,مركز سريان,Asir,,,3120
MOI-ASIR-384,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-385,مركز العرقين,Asir,,,3120
MOI-ASIR-386,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-387,مركز شرطه الفيض,Asir,,,3120
MOI-ASIR-388,مركز العرقين,Asir,,,3120
MOI-ASIR-389,الأحوال المدنية - سراة عبيدة,Asir,,,3120
MOI-ASIR-390,الأحوال المدنية - سراة عبيدة,Asir,,,3120
MOI-ASIR-391,الأحوال المدنية - سراة عبيدة,Asir,,,3120
MOI-ASIR-392,الأحوال المدنية - سراة عبيدة,Asir,,,3120
MOI-ASIR-393,الأحوال المدنية - سراة عبيدة,Asir,,,3120
MOI-ASIR-394,الأحوال المدنية - سراة عبيدة,Asir,,,3120
MOI-ASIR-395,شرطه الفرشة,Asir,,,3120
MOI-ASIR-396,شرطه الفرشة,Asir,,,3120
